Area,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
Beijing,1.47,1.36,1.55,1.7,2.05,2.17,2.1,2.04,2.09,2.13,2.78,3.05,4.38,5.09,5.18,4.92,4.01,3.27,2.39,2.1
Tianjin,3.39,3.45,3.39,3.36,3.28,3.26,3.08,3.1,3.55,3.68,3.89,3.89,6.24,5.58,5.41,4.56,3.53,2.78,2.53,2.3
Hebei,55.6,54.25,53.19,52.4,52.3,55.3,54.46,58.08,55.26,56.83,57.74,54.06,86.86,82.91,78.59,71.23,68.5,65.29,61.89,58
Shanxi,5.91,5.92,5.88,5.8,5.2,4.89,4.5,4.92,4.84,4.23,3.87,3.73,6.93,6.7,6.67,6.72,6.58,7.32,6.98,6.9
Inner Mongolia,59.48,55.59,52.89,54.53,51.79,51.17,49.73,49.71,47.4,43.09,39.4,36.43,33.6,28.72,24.03,19.49,23.21,21.84,17.82,17.6
Liaoning,25.11,41.6,40.27,42.75,43.24,43.2,42,41.57,40.2,37.7,38.23,35.3,42.25,37.29,33.87,29.66,27.26,25.84,23.82,23.4
Jilin,38.03,47.1,46.59,45.99,45.05,44.96,43.4,43.24,41.82,39.97,47.56,45.02,51,48.97,40.25,37,35.3,33.54,31.35,28.3
Heilongjiang,43.9,42.54,41.58,40.6,39.73,39.69,39.34,39.04,36.8,32.6,33.19,31,31.11,31.42,29.93,28.24,23.62,27.07,27.29,25.7
Shanghai,0.14,0.05,0.05,0.05,0,0.01,0,0.01,0.01,0,0.03,0.03,0.07,0.01,0.06,0.06,0.03,0.05,0.05,0.05
Jiangsu,2.93,3.11,3.22,3.27,3.19,3.47,3.58,3.48,3.26,2.97,2.84,2.96,5.71,5.29,5.58,5.34,5.02,5.12,5.21,5.7
Zhejiang,1.32,1.28,1.2,1.17,1.13,1.15,1.15,1.13,1.04,0.98,1.05,0.99,1.38,1.47,1.38,1.23,1,0.92,0.93,0.9
Anhui,8.07,16.49,16.19,17.89,18.15,18.13,17.82,18.32,17.54,17.11,17.09,17.27,32.98,35.56,34.85,35.32,28.7,31.88,32.64,34.3
Fujian,1.72,3.21,3.07,2.85,2.64,2.45,2.35,2.25,2.17,2.14,2.06,1.99,2.92,2.83,2.48,2.33,2.21,2.12,2.05,2
Jiangxi,12.05,14.41,13.61,13.13,12.69,12.1,11.7,11.16,10.91,10.58,7.25,7.11,10.19,8.71,6.96,6,5.34,5.24,5.24,6.7
Shandong,75.93,66.99,67.87,66.61,67.9,66.96,66.23,68.66,69.63,70.67,69.24,65.49,80.72,79.59,79.65,76.15,72.96,69.18,65.5,60.1
Hebei,35.04,83.01,82.6,82.1,80.56,80.44,82,83.05,83.97,84.1,82.11,82.05,100.78,98.33,93,89.2,89.23,83,82.21,76.7
Hubei,15.76,23.17,22.99,21.87,20.17,18.94,18.17,17.69,17.03,16.09,15.74,14.85,16.32,15.87,14.89,14.65,13.43,13.8,13.06,13.2
Hunan,17,20.4,19.88,18.9,18.19,16.8,16.2,16.27,15.74,14.61,14.6,13.75,18.18,16.85,16.08,15.92,13.15,13.49,12.97,11.7
Guangdong,4.08,7.07,6.97,6.97,6.97,6.68,6.56,6.27,6.06,5.76,5.33,5.05,7.21,6.33,5.81,5.02,5.21,5.17,4.53,3.1
Guangxi,11.71,14.71,14.38,14.38,14.33,13.86,14.27,13.7,13.36,12.45,11.65,10.89,16.87,14.6,12.93,11.59,10.43,9.79,8.94,9.5
Hainan,1.85,2.6,2.56,2.59,2.62,2.51,2.35,2.25,2.28,2.19,2.02,1.96,2.96,2.85,2.71,2.57,2.37,2.05,1.83,1.8
Chongqing,7.29,9.17,8.84,8.36,7.62,7.05,6.65,6.27,5.93,5.19,4.18,3.86,5.83,5.73,5.33,5.03,4.71,4.4,3.97,3.5
Sichuan,33.31,36.86,35.37,33.37,31.09,29.28,28.93,29.41,28.91,28.68,28.6,26.44,28.5,27,25.6,23.64,22.3,23.83,21.43,20
Guizhou,19.06,17.85,16.76,14.68,14.13,13.04,12,11.99,11.4,10.22,9.47,9.1,12.5,11.38,10.13,8.97,7.58,6.99,6.39,5.9
Yunnan,35.82,35.24,34.28,33.58,31.8,31.86,30.69,29.89,27.99,26.12,24.77,22.93,21.73,19.81,17.58,15.68,13.82,12.77,12.6,10.7
Tibet,22.54,16.18,16.51,16.04,15.94,15.06,14.77,14.77,14.22,14.19,14.19,12.9,12.76,12.19,10.77,9.4,8.94,8.48,8.29,7.8
Shaanxi,8.33,8.03,7.9,7.68,7.52,7.5,7.39,7.3,7.8,7.59,7.59,7.12,11.87,11.16,10.47,9.39,8.17,7.86,6.72,6.5
Gansu,20.96,20.02,18.8,18.06,17.16,16.72,16.14,16.08,15.07,14.77,14.5,13.92,12.81,11.27,10.65,9.49,8.72,7.85,7.17,6.9
Qinghai,12.86,12.18,11.49,10.61,10.28,9.56,8.7,8.46,8.1,7.28,14.52,8.8,7.44,7.3,7.09,7.03,7,6.35,6.05,6.9
Ningxia,10.92,10.42,9.75,8.79,8.67,7.91,7.48,7.49,7.28,6.83,6.5,5.56,5.2,4.66,3.74,2.91,2.51,3.31,2.98,2.6
Xinjiang,43.04,42.48,40.45,39.16,37.82,36.16,33.76,35.47,33.88,32.42,31.44,29.18,34.22,30.42,28.77,25.9,23.99,22.24,20.61,19.2
